日期,媒体名称,报道标题（中文）,报道标题（英文）,报道链接,图片路径,isLarge,isHidden
2025年10月20日,新华社,Hitch Open世界AI竞速锦标赛总决赛收官 清华大学团队斩获冠军,Hitch OpenWorld AI Racing ChampionshipGrand Final收官 Tsinghua大学团队斩获冠军,https://h.xinhuaxmt.com/vh512/share/12786056?docid=12786056&newstype=1001&d=135018c&channel=weixin&time=1760944391107,images/media/2025/news-10-20-4.jpg,False,True
2025年10月20日,钛媒体,Hitch Open世界AI竞速锦标赛总决赛圆满收官 物理智能加速落地中国,Hitch OpenWorld AI Racing ChampionshipGrand Final圆满收官 物理智能加速落地中国,https://www.tmtpost.com/7732122.html,images/media/2025/news-10-20-5.jpg,False,True
2025年10月19日,红网,Hitch Open世界AI竞速锦标赛决赛在张家界天门山成功举行,"Hitch Open World AI Racing Championship Final Successfully Held at Tianmen Mountain, Zhangjiajie",https://moment.rednet.cn/content/646954/53/15363316.html,images/media/2025/news-10-19-1.jpg,False,True
2025年10月19日,新华社,世界AI竞速锦标赛决战天门山99道弯,World AI Racing Championship Faces Off on Tianmen Mountain’s 99 Bends,https://h.xinhuaxmt.com/vh512/share/12784858?docid=12784858&newstype=1001&d=135018b&channel=weixin&time=1760839520680,images/media/2025/news-10-19-2.jpg,False,True
2025年10月19日,清华大学官方新闻,世界AI竞速锦标赛落幕 清华大学战队斩获冠军,World AI Racing Championship Concludes; Tsinghua University Takes the Title,https://www.tsinghua.edu.cn/info/1182/121912.htm,images/media/2025/news-10-19-3.jpg,False,True
2025年10月19日,上海证券报,Hitch Open世界AI竞速锦标赛总决赛收官 清华大学团队斩获冠军,Hitch OpenWorld AI Racing ChampionshipGrand Final收官 Tsinghua大学团队斩获冠军,https://www.cnstock.com/commonDetail/556289?timestap=1760887130647,images/media/2025/news-10-19-4.jpg,False,True
2025年10月18日,央视体育,Hitch Open天门山总决赛圆满落幕 清华战队创AI山路竞速世界纪录,Hitch Open Tianmen Mountain Grand Final Concludes; Tsinghua Sets a World Record for AI Mountain Road Racing,https://pic.cctv.cn/cctv/cctvh5/cctv5/2023/cctvsportsshare/router.html?id=ARTI1760780084081536&appkey=0-cctv5,images/media/2025/news-10-18-1.jpg,False,True
2025年10月17日,上海证券报,Hitch Open艾伦·杨：以“极限竞速”助推物理AI落地,Hitch Open’s Allen Yang: Advancing Physical AI Through “Extreme Racing”,https://www.cnstock.com/commonDetail/555454,images/media/2025/news-10-17-1.jpg,False,True
2025年10月17日,央视体育,天门山AI竞速决战18日开启 7校冲刺三强争夺 清华16分10秒领跑,Tianmen Mountain AI Racing Showdown Starts on the 18th: Seven Universities Sprint for Top Three; Tsinghua Leads with 16:10,https://pic.cctv.cn/cctv/cctvh5/cctv5/2023/cctvsportsshare/2025/04/cctv5_share/index.html?newlink=app://ARTI1760667909370655&id=ARTI1760667909370655,images/media/2025/news-10-17-2.jpg,False,True
2025年10月15日,上海证券报,Hitch Open：建立开源物理智能数据平台 加速AI技术产业化进程,Hitch Open: Building an Open Physical-Intelligence Data Platform to Accelerate AI Industrialization,https://www.cnstock.com/commonDetail/553689,images/media/2025/news-10-15-1.jpg,False,True
2025年10月14日,央视体育,Hitch Open世界AI竞速锦标赛 | 真AI挑战99弯极限山路,Hitch Open World AI Racing Championship | Real AI Challenges the 99-Bend Extreme Mountain Road,https://pic.cctv.cn/cctv/cctvh5/cctv5/2023/cctvsportsshare/2025/04/cctv5_share/index.html?newlink=app://ARTI1760412279227786&id=ARTI1760412279227786,images/media/2025/news-10-14-1.jpg,False,True
2025年10月13日,中国新闻网,HitchOpen世界AI竞速锦标赛总决赛即将在张家界天门山举行,"Hitch Open World AI Racing Championship Grand Final to be Held at Tianmen Mountain, Zhangjiajie",https://m.chinanews.com/wap/detail/chs/zw/400394.shtml,images/media/2025/news-10-13-1.jpg,False,True
2025年10月13日,新华社,Hitch Open世界AI竞速锦标赛总决赛10月18日天门山开跑,Hitch Open World AI Racing Championship Grand Final Kicks Off at Tianmen Mountain on October 18,https://h.xinhuaxmt.com/vh512/share/12776125?docid=12776125&newstype=1001&d=1350185&channel=weixin&time=1760359623432,images/media/2025/news-10-13-2.jpg,False,True
2025年10月13日,红网,HitchOpen世界AI竞速锦标赛10月18日天门山总对决 真AI挑战99弯极限山路,Hitch Open Showdown at Tianmen Mountain on October 18: Real AI Takes on the 99-Bend Extreme Mountain Road,https://moment.rednet.cn/content/646954/57/15347816.html,images/media/2025/news-10-13-3.jpg,False,True
2025年10月13日,中国日报网,Hitch Open世界AI竞速锦标赛将于10月18日在张家界天门山启幕,"Hitch Open World AI Racing Championship to Kick Off on October 18 at Tianmen Mountain, Zhangjiajie",https://cn.chinadaily.com.cn/a/202510/13/WS68ecc9fea310c4deea5ec1bd.html,images/media/2025/news-10-13-4.jpg,False,True
